defect, c1, c2, c3, e1, e2, e3, e4, e5, e6, e7
"Ga_Cu", -1, 1, 0, , -0.68, 0.58, 1.91, , , ,
"Ga_DX", -1, 1, 0, , , , 1.63, , , ,
"V_Cu", -1, 0, 0, , , , , 1.28, , ,
"Cu_Ga", 1, -1, 0, , , , 2.29, 2.49, 3.14, ,
"V_Ga", 0, -1, 0, , , , 4.7, 4.71, 5.05, 5.87,
"V_Se", 0, 0, -1, , 2.44, , 3.12, 4.38, 6.04, ,
"Cu_i", 1, 0, 0, , , 0.41, 2.26, , , ,
"Ga_i", 0, 1, 0, 0.77, 0.82, 1.21, 3.01, , , ,
"Se_i", 0, 0, 1, , 3.14, 3.29, 3.77, 4.85, 6.18, ,
"Ga_Cu-2V_Cu", -3, 1, 0, , , , 0.89, , , ,
"V_Se-V_Cu", -1, 0, -1, , , 2.96, , 3.74, 5.32, 7.16,
